iter	Passed	Remaining
0	0	898
1	1	700
2	1	634
3	2	594
4	2	588
5	3	570
6	3	551
7	4	539
8	4	531
9	5	523
10	5	518
11	6	514
12	6	521
13	7	521
14	7	516
15	8	511
16	8	512
17	9	508
18	9	509
19	10	507
20	10	505
21	11	502
22	11	499
23	12	504
24	12	503
25	13	500
26	13	497
27	14	495
28	14	493
29	15	491
30	15	489
31	16	491
32	16	491
33	17	490
34	17	489
35	18	492
36	18	493
37	19	492
38	19	490
39	20	489
40	20	488
41	21	488
42	21	486
43	22	484
44	22	483
45	23	482
46	23	480
47	24	478
48	24	479
49	25	479
50	25	478
51	26	477
52	26	476
53	27	475
54	27	474
55	28	472
56	28	471
57	28	470
58	29	469
59	29	468
60	30	467
61	31	473
62	31	473
63	32	473
64	32	472
65	33	471
66	33	471
67	34	470
68	34	469
69	35	468
70	35	467
71	36	465
72	36	468
73	37	467
74	37	466
75	38	465
76	38	464
77	39	463
78	39	462
79	40	461
80	40	460
81	41	459
82	41	455
83	41	455
84	42	454
85	42	454
86	43	454
87	43	453
88	44	453
89	45	456
90	45	456
91	46	455
92	46	454
93	47	453
94	47	453
95	48	452
96	48	451
97	49	451
98	49	450
99	50	450
100	50	449
101	51	450
102	51	449
103	52	449
104	52	448
105	53	448
106	53	448
107	54	447
108	54	446
109	55	448
110	55	448
111	56	448
112	57	447
113	57	446
114	57	446
115	58	445
116	58	443
117	59	442
118	59	442
119	60	442
120	60	441
121	61	440
122	61	440
123	62	440
124	62	439
125	63	438
126	63	437
127	64	436
128	64	436
129	65	435
130	65	434
131	65	433
132	66	432
133	66	431
134	67	431
135	67	430
136	68	431
137	69	431
138	70	433
139	70	433
140	71	433
141	71	431
142	72	431
143	72	431
144	73	430
145	73	431
146	74	431
147	74	431
148	75	430
149	75	430
150	76	429
151	76	428
152	77	428
153	77	427
154	78	426
155	78	426
156	79	425
157	79	424
158	80	424
159	80	424
160	81	422
161	81	423
162	82	422
163	82	422
164	83	421
165	83	421
166	84	420
167	84	420
168	85	419
169	85	419
170	86	418
171	86	418
172	87	419
173	88	418
174	88	418
175	89	417
176	89	417
177	90	416
178	90	415
179	91	415
180	91	414
181	92	416
182	93	416
183	94	419
184	95	418
185	95	418
186	96	417
187	96	417
188	97	416
189	97	417
190	98	416
191	98	416
192	99	415
193	99	414
194	100	414
195	100	413
196	101	412
197	101	412
198	102	411
199	102	410
200	103	410
201	103	410
202	104	410
203	104	409
204	105	408
205	106	408
206	106	408
207	107	407
208	107	407
209	108	406
210	108	405
211	109	405
212	109	404
213	109	403
214	110	403
215	111	403
216	111	402
217	112	402
218	112	401
219	113	400
220	113	400
221	114	400
222	114	399
223	115	398
224	116	401
225	117	401
226	117	400
227	118	400
228	118	399
229	119	399
230	119	398
231	120	397
232	120	397
233	121	396
234	121	396
235	122	395
236	122	395
237	123	394
238	123	393
239	124	392
240	124	392
241	125	391
242	125	390
243	125	390
244	126	389
245	126	388
246	127	388
247	127	387
248	128	386
249	128	386
250	129	385
251	129	384
252	130	384
253	130	383
254	131	383
255	131	382
256	132	382
257	132	382
258	133	382
259	134	382
260	134	381
261	135	381
262	135	380
263	136	380
264	136	379
265	137	379
266	137	378
267	138	378
268	139	377
269	139	377
270	140	376
271	140	376
272	141	375
273	141	375
274	142	374
275	142	373
276	143	373
277	143	372
278	144	372
279	144	371
280	145	371
281	145	370
282	146	369
283	146	369
284	147	369
285	147	368
286	148	367
287	148	367
288	149	366
289	149	366
290	150	366
291	150	365
292	151	364
293	151	364
294	152	363
295	152	363
296	153	362
297	153	362
298	154	361
299	154	361
300	155	360
301	155	360
302	156	359
303	156	358
304	157	358
305	157	357
306	158	357
307	158	356
308	159	356
309	159	355
310	160	355
311	160	354
312	161	354
313	161	353
314	162	353
315	162	352
316	163	352
317	164	351
318	164	351
319	165	351
320	165	350
321	166	349
322	166	349
323	167	348
324	167	348
325	168	347
326	168	346
327	169	346
328	169	345
329	169	345
330	170	344
331	170	343
332	171	343
333	171	342
334	172	342
335	172	341
336	173	341
337	174	340
338	174	340
339	175	339
340	175	339
341	176	339
342	176	338
343	177	338
344	177	337
345	178	337
346	178	336
347	179	335
348	179	335
349	180	334
350	180	333
351	180	333
352	181	332
353	181	332
354	182	331
355	183	331
356	183	330
357	183	329
358	184	329
359	184	328
360	185	328
361	185	327
362	186	327
363	186	326
364	187	326
365	188	325
366	188	325
367	189	325
368	189	324
369	190	324
370	191	323
371	191	323
372	192	322
373	192	322
374	193	321
375	193	321
376	194	320
377	194	320
378	195	319
379	195	319
380	196	318
381	196	317
382	196	317
383	197	316
384	197	316
385	198	315
386	198	314
387	199	314
388	199	314
389	200	313
390	200	313
391	201	312
392	202	312
393	202	311
394	203	310
395	203	310
396	203	309
397	204	309
398	204	308
399	205	307
400	205	307
401	206	306
402	206	306
403	207	305
404	207	305
405	208	304
406	208	304
407	209	303
408	209	303
409	210	302
410	210	301
411	211	301
412	211	300
413	212	300
414	212	299
415	213	299
416	213	298
417	214	298
418	214	297
419	215	297
420	215	296
421	216	296
422	216	295
423	217	294
424	217	294
425	218	293
426	218	293
427	219	292
428	219	292
429	220	292
430	220	291
431	221	291
432	221	290
433	222	289
434	222	289
435	223	288
436	223	288
437	224	287
438	224	287
439	225	286
440	225	285
441	225	285
442	226	284
443	226	284
444	227	283
445	227	283
446	228	282
447	228	281
448	229	281
449	229	280
450	230	280
451	230	279
452	231	279
453	231	278
454	232	278
455	233	278
456	233	277
457	234	277
458	234	276
459	235	276
460	235	275
461	236	275
462	236	274
463	237	274
464	237	273
465	238	273
466	238	272
467	239	271
468	239	271
469	240	270
470	240	270
471	241	269
472	241	269
473	242	268
474	242	268
475	243	268
476	244	267
477	244	267
478	245	266
479	245	266
480	246	265
481	246	265
482	247	264
483	247	264
484	248	263
485	249	263
486	249	262
487	250	262
488	250	261
489	251	261
490	251	260
491	252	260
492	252	259
493	252	259
494	253	258
495	253	258
496	254	257
497	255	257
498	255	256
499	256	256
500	256	255
501	257	255
502	257	254
503	258	254
504	258	253
505	259	253
506	259	252
507	260	252
508	261	251
509	261	251
510	262	250
511	262	250
512	263	249
513	263	249
514	264	248
515	264	248
516	265	247
517	265	247
518	266	246
519	266	246
520	267	245
521	267	244
522	268	244
523	268	243
524	268	243
525	269	242
526	269	242
527	270	241
528	270	241
529	271	240
530	271	240
531	272	239
532	272	239
533	273	238
534	273	237
535	274	237
536	274	237
537	275	236
538	275	236
539	276	235
540	276	234
541	277	234
542	278	234
543	278	233
544	279	233
545	279	232
546	280	232
547	280	231
548	281	231
549	281	230
550	282	229
551	282	229
552	283	228
553	283	228
554	284	227
555	284	227
556	285	226
557	285	226
558	286	225
559	286	225
560	287	224
561	287	224
562	288	223
563	288	223
564	288	222
565	289	221
566	289	221
567	290	220
